timestamp,total_throughput
11760000,0.360382
11820000,0.376005
11880000,0.388484
11940000,0.392309
12000000,0.453709
12060000,0.433344
12120000,0.437892
12180000,0.392635
12240000,0.393924
12300000,0.420518
12360000,0.401035
12420000,0.366242
12480000,0.364148
12540000,0.364716
12600000,0.477854
12660000,0.433952
12720000,0.418922
12780000,0.390503
12840000,0.395296
12900000,0.411405
12960000,0.422249
13020000,0.375273
13080000,0.379738
13140000,0.355288
13200000,0.426006
13260000,0.398098
13320000,0.387743
13380000,0.371599
13440000,0.369838
13500000,0.384022
13560000,0.360047
13620000,0.351786
13680000,0.353695
13740000,0.335468
13800000,0.398785
13860000,0.379243
13920000,0.374508
13980000,0.340588
14040000,0.355402
14100000,0.361877
14160000,0.360537
14220000,0.332819
14280000,0.330691
14340000,0.403152
14400000,0.551183
14460000,0.437793
14520000,0.413117
14580000,0.307193
14640000,0.363707
14700000,0.370829
14760000,0.364055
14820000,0.332272
14880000,0.312914
14940000,0.303976
15000000,0.413561
15060000,0.354863
15120000,0.364012
15180000,0.305305
15240000,0.298952
15300000,0.313062
15360000,0.317258
15420000,0.278576
15480000,0.298689
15540000,0.266094
15600000,0.320786
15660000,0.290293
15720000,0.290163
15780000,0.236963
15840000,0.258853
15900000,0.261093
15960000,0.278849
16020000,0.244942
16080000,0.255265
16140000,0.248188
16200000,0.3539
16260000,0.323277
16320000,0.321419
16380000,0.274626
16440000,0.296084
16500000,0.300298
16560000,0.315799
16620000,0.273567
16680000,0.278438
16740000,0.283429
16800000,0.368092
16860000,0.335007
16920000,0.311234
16980000,0.278595
17040000,0.29012
17100000,0.300471
17160000,0.331541
17220000,0.267292
17280000,0.282258
17340000,0.25483
17400000,0.347216
17460000,0.30395
17520000,0.311649
17580000,0.281008
17640000,0.292484
17700000,0.303642
17760000,0.309675
17820000,0.292733
17880000,0.330047
17940000,0.365649
18000000,0.586127
18060000,0.457261
18120000,0.416218
18180000,0.417053
18240000,0.398248
18300000,0.400226
18360000,0.401673
18420000,0.350405
18480000,0.358504
18540000,0.355639
18600000,0.418039
18660000,0.395088
18720000,0.423786
18780000,0.406764
18840000,0.384295
18900000,0.429067
18960000,0.390074
19020000,0.39536
19080000,0.386022
19140000,0.375596
19200000,0.46299
19260000,0.437528
19320000,0.433876
19380000,0.403223
19440000,0.395206
19500000,0.397789
19560000,0.405663
19620000,0.395973
19680000,0.388255
19740000,0.367974
19800000,0.464161
19860000,0.425245
19920000,0.4235
19980000,0.389727
20040000,0.382481
20100000,0.430711
20160000,0.529243
20220000,0.508213
20280000,0.515518
20340000,0.496531
20400000,0.57441
20460000,0.551247
20520000,0.545496
20580000,0.550058
20640000,0.539368
20700000,0.487813
20760000,0.525718
20820000,0.50566
20880000,0.509514
20940000,0.509638
21000000,0.54866
21060000,0.540909
21120000,0.536311
21180000,0.494985
21240000,0.490052
21300000,0.507811
21360000,0.524758
21420000,0.484537
21480000,0.487417
21540000,0.603621
21600000,0.771814
21660000,0.647659
21720000,0.629661
21780000,0.564573
21840000,0.589339
21900000,0.565663
21960000,0.53141
22020000,0.498515
22080000,0.479468
22140000,0.501584
22200000,0.555703
22260000,0.527633
22320000,0.515673
22380000,0.478847
22440000,0.474435
22500000,0.501926
22560000,0.504878
22620000,0.477898
22680000,0.480432
22740000,0.464107
22800000,0.539173
22860000,0.538857
22920000,0.519246
22980000,0.486972
23040000,0.487734
23100000,0.504363
23160000,0.499376
23220000,0.440118
23280000,0.433669
23340000,0.436973
23400000,0.522444
23460000,0.483775
23520000,0.494929
23580000,0.457277
23640000,0.455414
23700000,0.451067
23760000,0.462112
23820000,0.450503
23880000,0.511665
23940000,0.551383
24000000,0.603069
24060000,0.561698
24120000,0.477758
24180000,0.456821
24240000,0.443197
24300000,0.462395
24360000,0.457362
24420000,0.409625
24480000,0.421504
24540000,0.437526
24600000,0.457216
24660000,0.457354
24720000,0.47088
24780000,0.419972
24840000,0.432624
24900000,0.440108
24960000,0.440699
25020000,0.423602
25080000,0.412067
25140000,0.477424
25200000,0.665191
25260000,0.518123
25320000,0.518451
25380000,0.492654
25440000,0.485518
25500000,0.46543
25560000,0.495704
25620000,0.444408
25680000,0.463259
25740000,0.430699
25800000,0.526375
25860000,0.511996
25920000,0.481538
25980000,0.447615
26040000,0.440716
26100000,0.462094
26160000,0.456481
26220000,0.477573
26280000,0.479684
26340000,0.421994
26400000,0.450963
26460000,0.460702
26520000,0.41884
26580000,0.39746
26640000,0.44771
26700000,0.413397
26760000,0.419925
26820000,0.392781
26880000,0.402424
26940000,0.37484
27000000,0.484446
27060000,0.476613
27120000,0.465469
27180000,0.399382
27240000,0.402007
27300000,0.402312
27360000,0.448148
27420000,0.399385
27480000,0.398933
27540000,0.36728
27600000,0.447957
27660000,0.436365
27720000,0.455636
27780000,0.416732
27840000,0.406428
27900000,0.452732
27960000,0.43105
28020000,0.40801
28080000,0.406445
28140000,0.388879
28200000,0.448901
28260000,0.448571
28320000,0.433041
28380000,0.409983
28440000,0.415625
28500000,0.403303
28560000,0.414518
28620000,0.428993
28680000,0.431739
28740000,0.46141
28800000,0.635438
28860000,0.523898
28920000,0.489931
28980000,0.440208
29040000,0.489788
29100000,0.456254
29160000,0.442234
29220000,0.377554
29280000,0.390154
29340000,0.399941
29400000,0.468954
29460000,0.420401
29520000,0.399502
29580000,0.403339
29640000,0.410807
29700000,0.42699
29760000,0.417691
29820000,0.401775
29880000,0.407248
29940000,0.392478
30000000,0.449743
30060000,0.423033
30120000,0.404474
30180000,0.361358
30240000,0.395483
30300000,0.394451
30360000,0.390026
30420000,0.373187
30480000,0.397725
30540000,0.362589
30600000,0.462315
30660000,0.410507
30720000,0.398237
30780000,0.342221
30840000,0.335287
30900000,0.338898
30960000,0.331848
31020000,0.295782
31080000,0.293359
31140000,0.271559
31200000,0.383053
31260000,0.324993
31320000,0.202049
31380000,0.249923
31440000,0.244975
31500000,0.289365
31560000,0.290092
31620000,0.259379
31680000,0.232942
31740000,0.240169
31800000,0.306436
31860000,0.272905
31920000,0.274065
31980000,0.22994
32040000,0.220798
32100000,0.113721
32160000,0.231624
32220000,0.215159
32280000,0.216988
32340000,0.268845
32400000,0.534856
32460000,0.394476
32520000,0.340573
32580000,0.261879
32640000,0.231556
32700000,0.232888
32760000,0.215249
32820000,0.176096
32880000,0.15472
32940000,0.141568
33000000,0.198465
33060000,0.181528
33120000,0.16833
33180000,0.131934
33240000,0.128034
33300000,0.153506
33360000,0.131946
33420000,0.10167
33480000,0.127178
33540000,0.114516
33600000,0.172448
33660000,0.138285
33720000,0.0944657
33780000,0.0756076
33840000,0.0789844
33900000,0.113721
33960000,0.118984
34020000,0.0923589
34080000,0.0953104
34140000,0.0782348
34200000,0.201188
34260000,0.118226
34320000,0.0923189
34380000,0.0551296
34440000,0.0679886
34500000,0.0846146
34560000,0.0609911
34620000,0.029204
34680000,0.0751419
34740000,0.0240384
34800000,0.0849075
34860000,0.066568
34920000,0.0437641
34980000,0.0129257
35040000,0.0355848
35100000,0.0547224
35160000,0
35220000,0.00289828
35280000,0.119828
35340000,0.163571
35400000,0.200529
35460000,0.163331
35520000,0.163552
35580000,0.121165
35640000,0.13703
35700000,0.151848
35760000,0.200254
35820000,0.143794
35880000,0.132531
35940000,0.213575
36000000,0.39275
36060000,0.196958
36120000,0.225189
36180000,0.170897
36240000,0.171712
36300000,0.221686
36360000,0.20403
36420000,0.166126
36480000,0.139317
36540000,0.125504
36600000,0.222434
36660000,0.189244
36720000,0.185634
36780000,0.147133
36840000,0.139751
36900000,0.149996
36960000,0.154348
37020000,0.120473
37080000,0.0879708
37140000,0.0382917
37200000,0.0823959
37260000,0.0972594
37320000,0.0862967
37380000,0.0507798
37440000,0.0720688
37500000,0.083368
37560000,0.0637523
37620000,0.0479817
37680000,0.0668247
37740000,0.0474143
37800000,0.151768
37860000,0.112915
37920000,0.0555289
37980000,0.04607
38040000,0.0869548
38100000,0.0792609
38160000,0.0775292
38220000,0.0545391
38280000,0.0559629
38340000,0.0498664
38400000,0.11119
38460000,0.0984896
38520000,0.0760645
38580000,0.0678919
38640000,0.102124
38700000,0.110728
38760000,0.100795
38820000,0.0756158
38880000,0.0785411
38940000,0.0676622
39000000,0.135909
39060000,0.108809
39120000,0.0888593
39180000,0.0826474
39240000,0.0360368
39300000,0.1173
39360000,0.120653
39420000,0.111171
39480000,0.132915
39540000,0.183234
39600000,0.491499
39660000,0.410096
39720000,0.331016
39780000,0.299799
39840000,0.282658
39900000,0.300956
39960000,0.297112
40020000,0.254771
40080000,0.246084
40140000,0.23506
40200000,0.299998
40260000,0.271424
40320000,0.252869
40380000,0.241011
40440000,0.235579
40500000,0.267761
40560000,0.277269
40620000,0.236898
40680000,0.229484
40740000,0.231383
40800000,0.297145
40860000,0.26903
40920000,0.264844
40980000,0.241526
41040000,0.265325
41100000,0.261067
41160000,0.274786
41220000,0.247452
41280000,0.238568
41340000,0.224617
41400000,0.331474
41460000,0.268962
41520000,0.278412
41580000,0.258179
41640000,0.240955
41700000,0.242758
41760000,0.234575
41820000,0.224415
41880000,0.227715
41940000,0.224456
42000000,0.292628
42060000,0.28086
42120000,0.257998
42180000,0.221232
42240000,0.239021
42300000,0.298367
42360000,0.267794
42420000,0.225442
42480000,0.24641
42540000,0.243975
42600000,0.288751
42660000,0.27098
42720000,0.268457
42780000,0.246764
42840000,0.243575
42900000,0.259949
42960000,0.267719
43020000,0.267817
43080000,0.24996
43140000,0.255782
43200000,0.483168
